Tag,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ
6,116.278,2,21.525,10,10,10,0,0,0
6,113.587,2,-21.525,10,10,10,0,0,0
6,114.933,2,-59.193,10,10,10,0,0,0
6,-121.749,2,50.448,10,10,10,0,0,0
6,-117.713,2,15.471,10,10,10,0,0,0
6,-116.368,2,-24.888,10,10,10,0,0,0
6,-117.803,2,-57.848,10,10,10,0,0,0
6,49.103,20.6213,-125.112,10,10,10,0,0,0
6,27.489,41.5488,-125.112,10,10,10,0,0,0
6,-6.143,41.5488,-125.112,10,10,10,0,0,0
6,-31.704,41.3386,-123.767,10,10,10,0,0,0
6,49.014,2.24109,126.457,10,10,10,0,0,0
6,23.542,2.24109,126.457,10,10,10,0,0,0
6,-10.179,2.03078,127.803,10,10,10,0,0,0
6,-42.467,2,128.475,10,10,10,0,0,0
6,121.659,2,64.574,10,10,10,0,0,0
6,-125.874,2,-137.22,10,10,10,0,0,0
6,-133.947,2,142.601,10,10,10,0,0,0
6,127.04,2,-142.601,10,10,10,0,0,0
6,129.821,2,141.256,10,10,10,0,0,0
1,38.8563,3.61237,104.881,0.03,0.03,0.03,0,-0.352148,0
2,147.533,10,61.211,2,2,2,0,0,0
4,-139.686,0,-61.211,0.1,0.1,0.1,0,1.47943,0
2,-150,10,69.283,2,2,2,0,3.47833,0
