Vertex 0,0
Vertex 1,0
Vertex 2,0
Vertex 3,0
Vertex 4,0
Vertex 5,0
Vertex 6,0
Vertex 7,0
Vertex 8,0
Vertex 9,0
Vertex 10,0
Vertex 11,10
Vertex 12,10
Vertex 13,10
Vertex 14,10
Vertex 15,10
Vertex 16,10
Vertex 17,10
Vertex 18,10
Vertex 19,10
Vertex 20,10
Vertex 21,10
Vertex 22,0
Vertex 23,0
Vertex 24,0
Vertex 25,0
Vertex 26,0
Vertex 27,0
Vertex 28,0
Vertex 29,0
Vertex 30,0
Vertex 31,0
Vertex 32,0
Vertex 33,20
Vertex 34,20
Vertex 35,20
Vertex 36,20
Vertex 37,20
Vertex 38,20
Vertex 39,20
Vertex 40,20
Vertex 41,20
Vertex 42,20
Vertex 43,20
Vertex 44,0
Vertex 45,0
Vertex 46,0
Vertex 47,0
Vertex 48,0
Vertex 49,0
Vertex 50,0
Vertex 51,0
Vertex 52,0
Vertex 53,0
Vertex 54,10
Vertex 55,10
Vertex 56,10
Vertex 57,10
Vertex 58,10
Vertex 59,10
Vertex 60,10
Vertex 61,10
Vertex 62,10
Vertex 63,10
Vertex 64,10
Vertex 65,10
Vertex 66,0
Vertex 67,0
Vertex 68,0
Vertex 69,0
Vertex 70,0
Vertex 71,0
Vertex 72,0
Vertex 73,0
Vertex 74,0
Vertex 75,0
Vertex 76,0
Vertex 77,20
Vertex 78,20
Vertex 79,20
Vertex 80,20
Vertex 81,20
Vertex 82,20
Vertex 83,20
Vertex 84,20
Vertex 85,20
Vertex 86,20
Vertex 87,20
Vertex 88,0
Vertex 89,0
Vertex 90,0
Vertex 91,0
Vertex 92,0
Vertex 93,0
Vertex 94,0
Vertex 95,0
Vertex 96,0
Vertex 97,0
Vertex 98,0
Vertex 99,10
Vertex 100,10
Vertex 101,10
Vertex 102,10
Vertex 103,10
Vertex 104,10
Vertex 105,10
Vertex 106,10
Vertex 107,10
Vertex 108,10
Vertex 109,10
Vertex 110,0
Vertex 111,0
Vertex 112,0
Vertex 113,0
Vertex 114,0
Vertex 115,0
Vertex 116,0
Vertex 117,0
Vertex 118,0
Vertex 119,0
Vertex 120,0
